File Path: C:\Users\Administrator\Desktop\ASEN 3112\Lab 1 (Torsion)\Data\Test Run 122 01-30-20 8 52 44 AM\DAQ- Time, … - (Timed).txt   
Test: ASEN3112_20in-lb-return
Test Run: Test Run 122
Date: 1/30/2020 8:38:48 AM


Time 	Torsional Angle 	Torsional Epsilon 3550 Torsion 	Torsional Torque 	Axial Epsilon 3550 Axial 
sec	°	°	in·lbf	in
367.939453125	47.9964837820321	-0.00804518910885763	3.59379228027514	0.0174500082076828
367.94921875	47.9999193671842	-0.00831513082467332	3.13547177716882	0.017452427033907
367.958984375	48.0015859333415	-0.00803471620771587	3.58706818458153	0.0174493321738257
367.96875	48.0006262917632	-0.00756447702673106	3.08901057602465	0.0174521715160254
367.978515625	48.0024397069876	-0.00738502114342968	3.6828042511082	0.0174502018512791
367.98828125	47.995408027238	-0.00744794192661289	3.63289263823612	0.0174499887287411
367.998046875	47.9984850274587	-0.00783153142014774	3.30820575574317	0.0174510749661928
368.0078125	47.9978737255281	-0.00836274871576546	3.62140612500964	0.0174497870644041
368.017578125	48.0013400465314	-0.00809397260107995	3.14914549428245	0.01745127777635
368.02734375	48.0024294617039	-0.00769937576411118	3.46810560596087	0.0174501789348772
368.037109375	47.9990280274976	-0.00753960003036399	3.64680032180512	0.0174502442466227
368.046875	47.9966852726126	-0.00758337427252185	3.40099495277788	0.017451645584601
368.056640625	47.995589027251	-0.00798682650977935	3.40025111353985	0.0174492072794352
368.06640625	47.9994822350774	-0.00831455386045151	3.34836410632251	0.0174510371541296
368.076171875	48.0006536125199	-0.00796094482860407	3.18326292066694	0.0174510577788914
368.0859375	48.0003667445748	-0.00769902641727746	3.32324185926264	0.0174505925759321
368.095703125	47.9984269708508	-0.00733113501965035	3.28485263271504	0.0174521142250206
368.10546875	47.9935843667299	-0.00796760242876465	3.48202384044105	0.0174497893560443
368.115234375	47.9983962349995	-0.00843470415835255	3.55129822173382	0.0174510211126483
368.125	47.9974331783267	-0.00840420759716616	3.26759397975597	0.0174498833132922
368.134765625	48.0009370653704	-0.00817587900896654	3.23794433670972	0.0174508916349774
368.14453125	48.000858518195	-0.00757626644016507	3.65229127975482	0.0174502499757232
368.154296875	47.9971804613274	-0.00735899939001559	3.28349763194703	0.0174507289285236
368.1640625	47.9962242348437	-0.0077899066198451	3.72209927338041	0.0174519973513707
368.173828125	47.9962208197491	-0.00817637926696233	3.42535489650515	0.0174495498796441
368.18359375	47.9991031595785	-0.00849510447500033	3.14298191574516	0.0174501090398513
368.193359375	47.9997554426442	-0.00786901992058856	3.44242178665356	0.0174516879799446
368.203125	47.9967433292206	-0.00750504304177847	3.09794482383722	0.0174513992332802
368.212890625	47.9984542916074	-0.00766254343540817	3.75307490218893	0.0174505948675723
368.22265625	47.9940180837421	-0.00808513137476777	3.49409751187457	0.0174488314504435
368.232421875	47.9997759332117	-0.00835343641317392	3.20650288517269	0.0174500070618627
368.2421875	47.9981298576219	-0.00811502929388588	3.45652123303322	0.0174503198707491
368.251953125	47.9990451029706	-0.00801069965510154	3.11261612960271	0.0174501754974169
368.26171875	48.0000662162513	-0.00780799261391939	3.71788207418265	0.0174499910203813
368.271484375	47.9952748385492	-0.00752420125549039	3.52864567920789	0.0174497481065208
368.28125	47.9967194235585	-0.00782617949335616	3.28283503472507	0.0174510577788914
368.291015625	47.996879933004	-0.00836591368135213	3.70865398349377	0.01744926457044
368.30078125	47.9983313482024	-0.00838281156268643	3.16351504398826	0.017449832897208
368.310546875	47.999526631307	-0.00810734949988725	3.50775091848418	0.0174488944705488
368.3203125	47.9960978763441	-0.00774534363758056	3.67708671234095	0.0174489357200723
368.330078125	47.9959168763311	-0.00768778145129553	3.43299903165346	0.0174518105826949
368.33984375	47.9937961025941	-0.00795305909506384	3.59125979781969	0.0174499417501172
368.349609375	47.9987855557821	-0.00827992516821993	3.42787603673109	0.0174505444514881
368.359375	47.9977951783526	-0.00813152196624359	3.29179829754338	0.0174505329932871
368.369140625	47.9958656499123	-0.00803438853872863	3.27222240071689	0.0174503794533941
368.37890625	47.9970097065982	-0.00772500314747193	3.31307737520674	0.0174508503854539
368.388671875	47.9929696497046	-0.00797210058191008	3.74033362185064	0.0174507289285236
368.3984375	47.9959783480336	-0.00814001134443207	3.55141876589403	0.0174507060121217
368.408203125	47.9976141783396	-0.00836123793661819	3.36752587988526	0.017450615492334
368.41796875	47.9977746877851	-0.00824096090669155	3.45428549495465	0.0174480454178571
368.427734375	47.996073970682	-0.00771690730557347	3.20305827644592	0.0174517704789915
368.4375	47.994093215823	-0.00784677011246268	3.59824661120162	0.0174493929022908
368.447265625	47.9955412159268	-0.00812011024759641	3.73961958893668	0.0174514255871424
368.45703125	47.9940454044988	-0.00814500475299333	3.3765722311291	0.0174501078940312
368.466796875	47.9982869519728	-0.00854086557516479	3.39014334063153	0.0174517532916901
368.4765625	47.9975492915425	-0.00813849056012488	3.31870523122897	0.0174507506991055
368.486328125	47.9978634802443	-0.00794521254839995	3.27091382395807	0.0174499325835564
368.49609375	47.9949845555095	-0.00782145372282265	3.80067454664918	0.0174496999820768
368.505859375	47.9922524798419	-0.00783836744566014	3.60107689312506	0.0174494204019732
368.515625	47.9962686310733	-0.00813740249898405	3.36311480769461	0.0174524327630074
368.525390625	47.9964803669376	-0.00838934743340136	3.68221709290115	0.0174499440417574
368.53515625	47.9959578574661	-0.00833411728314002	3.01887392151587	0.0174488795748875
368.544921875	47.9955104800755	-0.00810122967707214	3.37702882181032	0.0174514038165606
